epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
36,3370.06,1.24213,3.14324,0.17557,0.7625,0.97456,0.94023,0.89155,0.9562,0.63895,0.76624,0.72657,0.6481,0.47964,1.15073,2.90734,0.06664,0.70625,0.96785,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,3462.38,1.22816,2.97291,0.16845,0.7385,0.97461,0.93828,0.91436,0.95727,0.65957,0.76613,0.74055,0.6452,0.47645,1.12282,3.03811,0.06653,0.67181,0.96403,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,3555.59,1.23869,3.07562,0.17275,0.74382,0.97324,0.95114,0.89295,0.95293,0.66339,0.80705,0.74275,0.70333,0.55052,1.09739,2.72348,0.06401,0.67872,0.95754,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,3649.35,1.23891,3.10686,0.17002,0.74763,0.97197,0.94617,0.90772,0.95424,0.63917,0.77667,0.74021,0.66131,0.5021,1.13762,2.85768,0.06279,0.68542,0.96033,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,3742.09,1.22255,3.05856,0.17817,0.74285,0.97098,0.94602,0.88293,0.95325,0.63292,0.78512,0.74086,0.68227,0.50744,1.16434,2.82719,0.06406,0.71408,0.96963,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,3835.14,1.21711,2.92414,0.17519,0.73525,0.97187,0.94836,0.90213,0.95748,0.66231,0.78415,0.73552,0.67913,0.51301,1.10558,2.9242,0.06956,0.66746,0.95226,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,3927.5,1.20974,2.97487,0.16969,0.74231,0.96949,0.94608,0.90611,0.95892,0.66409,0.78315,0.76868,0.67677,0.50558,1.11192,2.79744,0.06212,0.69033,0.9525,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,4020.08,1.1999,2.87476,0.16824,0.72598,0.959,0.94727,0.90495,0.9563,0.65842,0.75874,0.72485,0.60903,0.46625,1.12483,3.0479,0.06775,0.68293,0.95942,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,4113.5,1.19397,2.86675,0.17047,0.71882,0.96722,0.94713,0.91562,0.95922,0.65673,0.79553,0.76932,0.69171,0.52035,1.10936,2.74771,0.06499,0.66315,0.95331,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,4205.87,1.18922,2.83802,0.16314,0.71672,0.95916,0.95477,0.91562,0.96326,0.67364,0.77485,0.75417,0.65363,0.51056,1.08415,2.83306,0.06227,0.65659,0.94819,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
