epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,3406.6,1.20282,3.056,0.16913,0.71069,0.96505,0.94249,0.90918,0.96488,0.65902,0.77542,0.74801,0.68178,0.49747,1.11358,3.00766,0.0675,0.65036,0.95526,0.0016436,0.0016436,0.0016436
38,3497.59,1.22528,3.28079,0.18074,0.72716,0.97172,0.95001,0.91281,0.96796,0.65911,0.76703,0.69749,0.62276,0.46375,1.14272,3.15512,0.06255,0.64913,0.95282,0.0016337,0.0016337,0.0016337
39,3588.88,1.18228,3.07239,0.1741,0.69528,0.95504,0.96204,0.90388,0.95949,0.66229,0.79921,0.7424,0.67838,0.4923,1.08261,2.84782,0.06582,0.675,0.94592,0.0016238,0.0016238,0.0016238
40,3679.6,1.17032,2.90234,0.17602,0.68924,0.95145,0.96342,0.9247,0.97143,0.67075,0.77806,0.76413,0.68551,0.51587,1.07073,2.88873,0.06497,0.63431,0.9389,0.0016139,0.0016139,0.0016139
41,3770.43,1.18932,3.07271,0.17097,0.70078,0.96164,0.97207,0.91942,0.97164,0.66477,0.77036,0.73316,0.65616,0.48978,1.12131,3.10319,0.06292,0.65268,0.95324,0.001604,0.001604,0.001604
42,3861.16,1.18263,2.9884,0.17363,0.69576,0.95524,0.96127,0.91806,0.96104,0.66783,0.79355,0.75148,0.68455,0.50834,1.0887,2.86963,0.06416,0.63745,0.94317,0.0015941,0.0015941,0.0015941
43,3951.98,1.20776,3.09304,0.17153,0.70374,0.96009,0.96542,0.92215,0.97012,0.6739,0.80491,0.76882,0.69622,0.51406,1.08386,2.66736,0.06289,0.62548,0.93462,0.0015842,0.0015842,0.0015842
44,4042.8,1.16114,2.82444,0.17024,0.68791,0.9492,0.96243,0.92338,0.96895,0.66537,0.81168,0.79142,0.73258,0.55459,1.08025,2.50893,0.0626,0.6438,0.93278,0.0015743,0.0015743,0.0015743
45,4133.96,1.15869,2.89748,0.17092,0.68849,0.95301,0.96196,0.93263,0.97188,0.6824,0.78574,0.77026,0.67066,0.51026,1.05889,2.79211,0.06234,0.62286,0.94051,0.0015644,0.0015644,0.0015644
46,4224.66,1.16812,2.91781,0.17331,0.68324,0.95132,0.97145,0.92074,0.96762,0.67795,0.81083,0.7675,0.69748,0.5317,1.06671,2.64133,0.06064,0.63282,0.9298,0.0015545,0.0015545,0.0015545
47,4315.95,1.17777,2.89638,0.16901,0.69327,0.9496,0.96406,0.92143,0.97199,0.67256,0.77147,0.7358,0.66269,0.50415,1.07266,3.05981,0.06548,0.62855,0.94129,0.0015446,0.0015446,0.0015446
48,4406.84,1.16007,2.89599,0.16873,0.67828,0.95105,0.97728,0.90911,0.9706,0.68181,0.78444,0.73551,0.63811,0.46925,1.04715,2.94025,0.0595,0.61704,0.93943,0.0015347,0.0015347,0.0015347
49,4497.19,1.14598,2.69129,0.16466,0.67337,0.94879,0.94153,0.936,0.96868,0.68687,0.825,0.75978,0.70926,0.53688,1.04945,2.65829,0.06202,0.61373,0.93156,0.0015248,0.0015248,0.0015248
50,4588.16,1.14456,2.72732,0.16539,0.66917,0.94516,0.96074,0.91149,0.96599,0.67952,0.82014,0.76501,0.70138,0.52167,1.04624,2.7051,0.05841,0.6233,0.93718,0.0015149,0.0015149,0.0015149
